구,월일,기념일,방문자수_합계
강남구,01-01,신정,113453
강남구,03-01,삼일절,123539
강남구,05-05,어린이날,125010
강남구,06-06,현충일,131649
강남구,08-15,광복절,148526
강남구,10-03,개천절,219503
강남구,10-09,한글날,225261
강남구,12-24,크리스마스이브,160588
강남구,12-25,크리스마스,152112
강동구,01-01,신정,46401
강동구,03-01,삼일절,53198
강동구,05-05,어린이날,66284
강동구,06-06,현충일,67876
강동구,08-15,광복절,88683
강동구,10-03,개천절,104629
강동구,10-09,한글날,102425
강동구,12-24,크리스마스이브,59822
강동구,12-25,크리스마스,75244
강북구,01-01,신정,43618
강북구,03-01,삼일절,52309
강북구,05-05,어린이날,61702
강북구,06-06,현충일,65417
강북구,08-15,광복절,81683
강북구,10-03,개천절,107733
강북구,10-09,한글날,100703
강북구,12-24,크리스마스이브,39484
강북구,12-25,크리스마스,45404
강서구,01-01,신정,41772
강서구,03-01,삼일절,41389
강서구,05-05,어린이날,47428
강서구,06-06,현충일,50969
강서구,08-15,광복절,49443
강서구,10-03,개천절,83164
강서구,10-09,한글날,79707
강서구,12-24,크리스마스이브,69484
강서구,12-25,크리스마스,59634
관악구,01-01,신정,76749
관악구,03-01,삼일절,72439
관악구,05-05,어린이날,68384
관악구,06-06,현충일,73553
관악구,08-15,광복절,79094
관악구,10-03,개천절,138674
관악구,10-09,한글날,130571
관악구,12-24,크리스마스이브,78182
관악구,12-25,크리스마스,67578
광진구,01-01,신정,50023
광진구,03-01,삼일절,66034
광진구,05-05,어린이날,62119
광진구,06-06,현충일,63990
광진구,08-15,광복절,69858
광진구,10-03,개천절,116520
광진구,10-09,한글날,117824
광진구,12-24,크리스마스이브,74231
광진구,12-25,크리스마스,82443
구로구,01-01,신정,84775
구로구,03-01,삼일절,112350
구로구,05-05,어린이날,102421
구로구,06-06,현충일,95312
구로구,08-15,광복절,113079
구로구,10-03,개천절,186305
구로구,10-09,한글날,171615
구로구,12-24,크리스마스이브,106447
구로구,12-25,크리스마스,126404
금천구,01-01,신정,49654
금천구,03-01,삼일절,62950
금천구,05-05,어린이날,75004
금천구,06-06,현충일,68842
금천구,08-15,광복절,76136
금천구,10-03,개천절,119392
금천구,10-09,한글날,113372
금천구,12-24,크리스마스이브,68057
금천구,12-25,크리스마스,81057
노원구,01-01,신정,48593
노원구,03-01,삼일절,65792
노원구,05-05,어린이날,58163
노원구,06-06,현충일,62044
노원구,08-15,광복절,68600
노원구,10-03,개천절,107309
노원구,10-09,한글날,106821
노원구,12-24,크리스마스이브,49939
노원구,12-25,크리스마스,67716
도봉구,01-01,신정,59560
도봉구,03-01,삼일절,68170
도봉구,05-05,어린이날,92558
도봉구,06-06,현충일,92673
도봉구,08-15,광복절,106822
도봉구,10-03,개천절,133548
도봉구,10-09,한글날,122409
도봉구,12-24,크리스마스이브,61493
도봉구,12-25,크리스마스,86719
동작구,01-01,신정,98295
동작구,03-01,삼일절,138963
동작구,05-05,어린이날,132473
동작구,06-06,현충일,135217
동작구,08-15,광복절,147025
동작구,10-03,개천절,236379
동작구,10-09,한글날,245524
동작구,12-24,크리스마스이브,138595
동작구,12-25,크리스마스,152345
마포구,01-01,신정,43368
마포구,03-01,삼일절,49772
마포구,05-05,어린이날,63854
마포구,06-06,현충일,63030
마포구,08-15,광복절,75608
마포구,10-03,개천절,105673
마포구,10-09,한글날,98075
마포구,12-24,크리스마스이브,57741
마포구,12-25,크리스마스,66669
서대문구,01-01,신정,2997
서대문구,03-01,삼일절,3986
서대문구,05-05,어린이날,4316
서대문구,06-06,현충일,5373
서대문구,08-15,광복절,4541
서대문구,10-03,개천절,7358
서대문구,10-09,한글날,8273
서대문구,12-24,크리스마스이브,5551
서대문구,12-25,크리스마스,5717
서초구,01-01,신정,16351
서초구,03-01,삼일절,21636
서초구,05-05,어린이날,23584
서초구,06-06,현충일,31129
서초구,08-15,광복절,24896
서초구,10-03,개천절,37595
서초구,10-09,한글날,45084
서초구,12-24,크리스마스이브,42492
서초구,12-25,크리스마스,25747
성동구,01-01,신정,2135
성동구,03-01,삼일절,4396
성동구,05-05,어린이날,6960
성동구,06-06,현충일,8378
성동구,08-15,광복절,5240
성동구,10-03,개천절,13765
성동구,10-09,한글날,13349
성동구,12-24,크리스마스이브,5054
성동구,12-25,크리스마스,6324
송파구,01-01,신정,36325
송파구,03-01,삼일절,55909
송파구,05-05,어린이날,56233
송파구,06-06,현충일,57157
송파구,08-15,광복절,56216
송파구,10-03,개천절,80159
송파구,10-09,한글날,99835
송파구,12-24,크리스마스이브,59456
송파구,12-25,크리스마스,54452
양천구,01-01,신정,97445
양천구,03-01,삼일절,114107
양천구,05-05,어린이날,97385
양천구,06-06,현충일,99034
양천구,08-15,광복절,122562
양천구,10-03,개천절,209361
양천구,10-09,한글날,206685
양천구,12-24,크리스마스이브,118681
양천구,12-25,크리스마스,140240
용산구,01-01,신정,473
용산구,03-01,삼일절,718
용산구,05-05,어린이날,674
용산구,06-06,현충일,853
용산구,08-15,광복절,510
용산구,10-03,개천절,1396
용산구,10-09,한글날,1980
용산구,12-24,크리스마스이브,902
용산구,12-25,크리스마스,1025
은평구,01-01,신정,2324
은평구,03-01,삼일절,3187
은평구,05-05,어린이날,2549
은평구,06-06,현충일,3958
은평구,08-15,광복절,3649
은평구,10-03,개천절,5118
은평구,10-09,한글날,5639
은평구,12-24,크리스마스이브,4598
은평구,12-25,크리스마스,3428
종로구,01-01,신정,18872
종로구,03-01,삼일절,24474
종로구,05-05,어린이날,27803
종로구,06-06,현충일,27911
종로구,08-15,광복절,28092
종로구,10-03,개천절,47154
종로구,10-09,한글날,50383
종로구,12-24,크리스마스이브,18563
종로구,12-25,크리스마스,21988
중구,01-01,신정,48554
중구,03-01,삼일절,51266
중구,05-05,어린이날,58563
중구,06-06,현충일,68557
중구,08-15,광복절,67232
중구,10-03,개천절,134624
중구,10-09,한글날,118468
중구,12-24,크리스마스이브,107623
중구,12-25,크리스마스,146010
중랑구,01-01,신정,28043
중랑구,03-01,삼일절,36938
중랑구,05-05,어린이날,35489
중랑구,06-06,현충일,35253
중랑구,08-15,광복절,39657
중랑구,10-03,개천절,67597
중랑구,10-09,한글날,65455
중랑구,12-24,크리스마스이브,26745
중랑구,12-25,크리스마스,35689
